group,replicate,fastq_1,fastq_2,antibody,control
BRCA1,1,SRR6982760.fastq,,BRCA1,BRCA1_input
BRCA1,2,SRR6982761.fastq,,BRCA1,BRCA1_input
CDX1,1,SRR3955853.fastq,,CDX1,CDX1_input
CDX1,2,SRR3955854.fastq,,CDX1,CDX1_input
Crebbp,1,SRR1145787.fastq,,Crebbp,Crebbp_input
Crebbp,2,SRR1145788.fastq,,Crebbp,Crebbp_input
Dlx5,1,SRR8429934.fastq,,Dlx5,Dlx5_input
Dnmt3b,1,SRR5133013.fastq,,Dnmt3b,Dnmt3b_input
Dnmt3b,2,SRR5133014.fastq,,Dnmt3b,Dnmt3b_input
Dnmt3b,3,SRR5133015.fastq,,Dnmt3b,Dnmt3b_input
Eif2c2,1,SRR15318820.fastq,,Eif2c2,Eif2c2_input
Eif2c2,2,SRR15318821.fastq,,Eif2c2,Eif2c2_input
Eif2c2,3,SRR15318822.fastq,,Eif2c2,Eif2c2_input
Fbxl10,1,SRR6910819.fastq,,Fbxl10,Fbxl10_input
Fbxl10,2,SRR6910820.fastq,,Fbxl10,Fbxl10_input
Gli3,1,SRR9627172.fastq,,Gli3,Gli3_input
Gli3,2,SRR9627173.fastq,,Gli3,Gli3_input
Gli3,3,SRR9627174.fastq,,Gli3,Gli3_input
Grhl2,1,SRR5125288.fastq,,Grhl2,Grhl2_input
Grhl2,2,SRR5125289.fastq,,Grhl2,Grhl2_input
Grhl3,1,SRR1036423.fastq,,Grhl3,Grhl3_input
Grhl3,2,SRR1036424.fastq,,Grhl3,Grhl3_input
Grip1,1,SRR5664970.fastq,,Grip1,Grip1_input
Grip1,2,SRR5664971.fastq,,Grip1,Grip1_input
Gtf2i,1,SRR10209847.fastq,,Gtf2i,Gtf2i_input
Gtf2i,2,SRR10209849.fastq,,Gtf2i,Gtf2i_input
Gtf2i,3,SRR10209851.fastq,,Gtf2i,Gtf2i_input
Gtf2ird1,1,SRR10209837.fastq,,Gtf2ird1,Gtf2ird1_input
Gtf2ird1,2,SRR10209838.fastq,,Gtf2ird1,Gtf2ird1_input
Hdac4,1,SRR5118131.fastq,,Hdac4,Hdac4_input
Hif1a,1,SRR17064180.fastq,,Hif1a,Hif1a_input
Jarid2,1,SRR908373.fastq,,Jarid2,Jarid2_input
Med12,1,SRR058994.fastq,,Med12,Med12_input
Men1,1,SRR7941625.fastq,,Men1,Men1_input
Men1,2,SRR7941626.fastq,,Men1,Men1_input
Men1,3,SRR7941627.fastq,,Men1,Men1_input
Msgn1,1,SRR1174469.fastq,,Msgn1,Msgn1_input
Msx1,1,SRR096327.fastq,,Msx1,Msx1_input
Msx1,2,SRR096328.fastq,,Msx1,Msx1_input
Msx1,3,SRR096329.fastq,,Msx1,Msx1_input
Neurog2,1,SRR7133026.fastq,,Neurog2,Neurog2_input
Neurog2,2,SRR7133027.fastq,,Neurog2,Neurog2_input
Neurog2,3,SRR7133028.fastq,,Neurog2,Neurog2_input
Ovol2,1,SRR1106131.fastq,,Ovol2,Ovol2_input
Pax3,1,SRR8448395.fastq,,Pax3,Pax3_input
Pax3,2,SRR8448396.fastq,,Pax3,Pax3_input
Pitx2,1,SRR900252.fastq,,Pitx2,Pitx2_input
Rara,1,SRR039155.fastq,,Rara,Rara_input
Rara,2,SRR039156.fastq,,Rara,Rara_input
Rara,3,SRR039157.fastq,,Rara,Rara_input
Rbpsuh,1,SRR1188327.fastq,,Rbpsuh,Rbpsuh_input
Rybp,1,SRR3099530.fastq,,Rybp,Rybp_input
Sall1,1,SRR18070775.fastq,,Sall1,Sall1_input
Sall1,2,SRR18070774.fastq,,Sall1,Sall1_input
Sall1,3,SRR18070772.fastq,,Sall1,Sall1_input
Sall4,1,SRR3176687.fastq,,Sall4,Sall4_input
Ski,1,SRR9920912.fastq,,Ski,Ski_input
Sp8,1,SRR11015197.fastq,,Sp8,Sp8_input
Sp8,2,SRR11015198.fastq,,Sp8,Sp8_input
Tead2,1,SRR1185744.fastq,,Tead2,Tead2_input
Tead2,2,SRR1185745.fastq,,Tead2,Tead2_input
Tead2,3,SRR1185746.fastq,,Tead2,Tead2_input
Trp53,1,SRR832846.fastq,,Trp53,Trp53_input
Trp53,2,SRR832848.fastq,,Trp53,Trp53_input
Ybx1,1,SRR12173636.fastq,,Ybx1,Ybx1_input
Ybx1,2,SRR12173637.fastq,,Ybx1,Ybx1_input
Ybx1,3,SRR12173638.fastq,,Ybx1,Ybx1_input
Zic2,1,SRR9040739.fastq,,Zic2,Zic2_input
Zic2,2,SRR9040740.fastq,,Zic2,Zic2_input
BRCA1_input,1,SRR6982771.fastq,,,
CDX1_input,1,SRR3955861.fastq,,,
Crebbp_input,1,SRR1145789.fastq,,,
Crebbp_input,2,SRR1145790.fastq,,,
Dlx5_input,1,SRR8429935.fastq,,,
Dnmt3b_input,1,SRR5133025.fastq,,,
Dnmt3b_input,2,SRR5133026.fastq,,,
Dnmt3b_input,3,SRR5133027.fastq,,,
Eif2c2_input,1,SRR15318825.fastq,,,
Eif2c2_input,2,SRR15318826.fastq,,,
Eif2c2_input,3,SRR15318827.fastq,,,
Fbxl10_input,1,SRR6910818.fastq,,,
Gli3_input,1,SRR9627180.fastq,,,
Gli3_input,2,SRR9627181.fastq,,,
Gli3_input,3,SRR9627182.fastq,,,
Grhl2_input,1,SRR5125286.fastq,,,
Grhl2_input,2,SRR5125287.fastq,,,
Grhl3_input,1,SRR1036425.fastq,,,
Grip1_input,1,SRR5664978.fastq,,,
Gtf2i_input,1,SRR10209846.fastq,,,
Gtf2i_input,2,SRR10209848.fastq,,,
Gtf2i_input,3,SRR10209850.fastq,,,
Gtf2ird1_input,1,SRR10209835.fastq,,,
Gtf2ird1_input,2,SRR10209836.fastq,,,
Hdac4_input,1,SRR5118133.fastq,,,
Hif1a_input,1,SRR17064181.fastq,,,
Jarid2_input,1,SRR908371.fastq,,,
Med12_input,1,SRR057608.fastq,,,
Men1_input,1,SRR7941606.fastq,,,
Men1_input,2,SRR7941607.fastq,,,
Men1_input,3,SRR7941608.fastq,,,
Msgn1_input,1,SRR1174470.fastq,,,
Msx1_input,1,SRR096326.fastq,,,
Neurog2_input,1,SRR7133029.fastq,,,
Ovol2_input,1,SRR1106132.fastq,,,
Pax3_input,1,SRR8448393.fastq,,,
Pax3_input,2,SRR8448394.fastq,,,
Pitx2_input,1,SRR900253.fastq,,,
Rara_input,1,SRR039167.fastq,,,
Rbpsuh_input,1,SRR1188328.fastq,,,
Rybp_input,1,SRR3099528.fastq,,,
Sall1_input,1,SRR18070769.fastq,,,
Sall4_input,1,SRR3176688.fastq,,,
Ski_input,1,SRR9920908.fastq,,,
Sp8_input,1,SRR11015199.fastq,,,
Sp8_input,2,SRR11015200.fastq,,,
Tead2_input,1,SRR1185754.fastq,,,
Tead2_input,2,SRR1185755.fastq,,,
Tead2_input,3,SRR1185756.fastq,,,
Trp53_input,1,SRR832847.fastq,,,
Trp53_input,2,SRR832849.fastq,,,
Ybx1_input,1,SRR12173639.fastq,,,
Ybx1_input,2,SRR12173640.fastq,,,
Ybx1_input,3,SRR12173641.fastq,,,
Zic2_input,1,SRR9040723.fastq,,,
Zic2_input,2,SRR9040724.fastq,,,
